,eng,jp
14505,yeah. now you finally,おおー。 地味にさ まっとうに
14506,alright!,よしっ!
14507,stand by for now.,ボスにお伝えする とりあえず待機してろ
14508,there are more ways of folding a protein than there are atoms in the universe.,宇宙の原子の数より 多くの折り畳み組み合わせがあります
14509,"and if there is a trial, i want to take the stand and tell the jury that i'm innocent.",公判が有るなら無実を主張します
14510,in terms of oil extraction are scrambling about in alberta,アルバータや海底などの地域にまで
14511,"iris westallen, huh?",アイリス・ウェスト -アレンでしょ?
14512,the great majority don't get a mental disorder.,ほとんど人は心の病になったりはしないという事です
14513,it's not me bad,悪いのは俺じゃねえよ
14514,"oh, really?",ああん つまんない
14515,"give me my money back, and, uh",金を返せ そうすれば
14516,i was my mom.,お母さんだった。
14517,kaorisan. hey.,香里さん ヘイ
14518,the kids at my school opened it without my permission.,でも学校の子供たちは 否応なくこじ開けてきた
14519,doesn't matter.,平気だよ
14520,and pick me up some gala apples.,祭り用のリンゴを 選んでおいてくれ
14521,the same goes for me.,什么都不明白的是栗山同学
14522,"i couldn't stay calm at all. rather, i felt like a rival",全然 平気だから。 むしろ ライバルは
14523,he will be.,認めるよ
14524,wanda?,ワンダ!
14525,just by living our own lives.,ただ 普通に生活するだけでです
14526,read the diary,日記は読んできたの
14527,i promised hinata i'll take him.,陽に連れていくって 約束したんだ。
14528,good thing it was just a cup.,カップ1個でよかった
14529,do you want me to go talk to him?,僕が本人に会って 確認しましょうか?
14530,"but thanks to that, i was saved.",でも そのおかげで 助かったんだぜ。
14531,and for 50 bucks or so,レンタカーで50ドル出せば
14532,i promise you this is the only time i will ask you to sign over your company.,これが最後、交代の書類にサインしてください
14533,but i just started again an hour ago.,けど一時間前にまた始めちゃった」
14534,"well one of them is, they say, you need to get the basics first.",基礎をまず学ぶ必要があると言う人がいます
14535,should i?,すべき?
14536,"and astonishingly, if you look at what actually happened in my lifetime",それどころか 私の生涯に起こったことは驚嘆すべきことです
14537,"um,she's just gonna take some time off,see what's next.",しばらく休んで 次にどうすべきか 考えるだろう
14538,you left him there.,彼を置きざりにした
14539,it's freezing out there.,外は冷えるぞ
14540,i swear i will always be there. always.,これからは 常に 2人の力になると誓います
14541,now it was using the lessons learned from these early missions,友人と衛星のデザインを始めた
14542,umar is seven years old,ウマーはナイジェリアにいる
14543,"i'm looking for it, the cursed video.",'探してるんだ''って 呪いの動画
14544,"is that you, goku?",超サイヤ人は 孫 悟空さん一人じゃない。
14545,for your help.,お願いします
14546,strip it.,剥がせ
14547,just someone out there who's noticed.,あんたに気がついたそこらの誰かさ。
14548,pull up other information,情報を参照することも可能です
14549,you mean mr. finch?,フィンチ?
14550,calm down. you expect me to calm down?!,落ち着いて。 落ち着けるか!
14551,well let'00 tomorrow.,《じゃあ 明日の5時に ここで》
14552,mr.phillips wants to sit down with you later.,フィリップスさんが 話したいと
14553,there are only a certain number of watchmakers who are qualified to work with this watch.,この時計を扱える職人は 限られてる
14554,"i'm sorry, jack.",ごめんなさい、ジャック。
14555,"you know what happens if you tease me, right?",私をからかったら どうなるか知ってますよね?
14556,"dren, try to look at me. look at me!",ドレン 目を開けて!
14557,you...,あなたを見つけて
14558,"these guys are, like, the best indie band ever.",最高のインディーズバンドだよ
14559,what's that?,な なんだよ その顔は
14560,leave the line and orchid. what is a line?,セリフは まかせたで 蘭。 セリフって 何?
14561,"chas, take a look around back. make sure we're alone.",チャス周りを確認してくれ 人が居ないか
14562,promise to take care of my kids.,子供達に頼む ━
14563,"no, don't say, i guess. say, yes.",「思います」じゃだめ 「はい」と言って
14564,whether to accept their life or not.,その方 ご自身の問題ですので
14565,some boys like a challenge.,何人かの男子は挑戦者だ
14566,"get me some of those cheese things, all right?",チーズ味のを買っておいてくれよ、いいな?
14567,is that who you're texting?,家族にメッセージ?
14568,nothing.,《やはりな》
14569,see if there's a paper trail. security footage.,記録があれば 監視映像をあたる
14570,to keep track of where it is,現在位置が把握されます
14571,the harumi hall?,晴海会場?
14572,she your daughter or something?,あんたの娘か?
14573,she was betrayed a lot of times and kept holding it in.,何遍も裏切られて そのたんびに 我慢 我慢。
14574,something about some kid who tipped him off.,若い男が通報したらしい
14575,of aaron's death to get revenge on his behalf.,報復だと見せかけていると 友達の中に
14576,i think it's going to be older people.,大人たちの使用が増えると 私は予想しています
14577,awkward conversations.,気まずい会話内容でした
14578,good morning. today we have a favor to ask,おはようございます。 本日は 以前から お願い...。
14579,i doubt that very much.,それは 疑わしいわ
14580,that is...,違う!あれは...。
14581,don't rush to conclusion. mushroom head.,戦うこともできないってことかよ。
14582,by any means.,どういうことだ?
14583,"i don't know what the hell you've been looking at, but i'm looking at a damn man.",そんな事知るもんか 見てるけど クソ男を見てる
14584,phil wasn't class of '94.,フィルは '94年のクラスじゃなかった
14585,"no, it wouldn't kill me.",殺されることはない
